poi_id,geometry,categories,confidence,websites,emails,socials,phones,brand,addresses,names_left,sources_left,operating_status,basic_category,taxonomy,version_left,index_right,building_id,names_right,sources_right,level,height,min_height,is_underground,num_floors,num_floors_underground,min_floor,subtype,class,facade_color,facade_material,roof_material,roof_shape,roof_direction,roof_orientation,roof_color,roof_height,has_parts,version_right,match_type,distance_to_building,building_id_left,level_left,height_left,min_height_left,is_underground_left,num_floors_left,num_floors_underground_left,min_floor_left,subtype_left,class_left,facade_color_left,facade_material_left,roof_material_left,roof_shape_left,roof_direction_left,roof_orientation_left,roof_color_left,roof_height_left,has_parts_left,building_id_right,names,sources,level_right,height_right,min_height_right,is_underground_right,num_floors_right,num_floors_underground_right,min_floor_right,subtype_right,class_right,facade_color_right,facade_material_right,roof_material_right,roof_shape_right,roof_direction_right,roof_orientation_right,roof_color_right,roof_height_right,has_parts_right,version,distance_bucket
9547a2da-c7c8-40a3-9625-0b393dad9fd4,POINT (477605.3385017563 4428088.989278872),"{'alternate': array(['structure_and_geography'], dtype=object), 'primary': 'lake'}",low,,,['https://www.facebook.com/435943016937117'],,"{'names': {'common': None, 'primary': None, 'rules': None}, 'wikidata': None}","[{'country': 'US', 'freeform': '', 'locality': 'Boulder', 'postcode': '80309', 'region': 'CO'}]","{'common': None, 'primary': 'Kittredge Lake', 'rules': None}","[{'between': None, 'confidence': 0.7874457836151123, 'dataset': 'meta', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '435943016937117', 'update_time': '2026-04-06T00:00:00.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,lake,"{'alternates': None, 'hierarchy': array(['geographic_entities', 'water_feature', 'lake'], dtype=object), 'primary': 'lake'}",6,328.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.236577348435265,,,,,,,,,,,,,,,,,,,,a0309ac6-afa5-4e84-a75d-a5c3c2933c94,"{'common': None, 'primary': 'Andrews Hall', 'rules': array([{'between': None, 'language': None, 'perspectives': None, 'side': None, 'value': 'ANDS', 'variant': 'short'}],
      dtype=object)}","[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w46938896@16', 'update_time': '2024-03-26T20:52:55.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.289144515991211,,False,,,,residential,dormitory,,stone,roof_tiles,,,,,,False,2.0,30m+
aa4c3aab-c57e-4f2f-b566-1a637badf013,POINT (476238.0638538023 4429515.197025611),"{'alternate': array(['national_park', 'landmark_and_historical_building'], dtype=object), 'primary': 'park'}",low,['http://www.firstgov.gov/'],,['https://www.facebook.com/157067651056855'],,"{'names': {'common': None, 'primary': None, 'rules': None}, 'wikidata': None}","[{'country': 'US', 'freeform': '1236 Canyon Blvd', 'locality': 'Boulder', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': 'Central Park', 'rules': None}","[{'between': None, 'confidence': 0.8704187273979187, 'dataset': 'meta', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '157067651056855', 'update_time': '2026-04-06T00:00:00.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,park,"{'alternates': None, 'hierarchy': array(['sports_and_recreation', 'park'], dtype=object), 'primary': 'park'}",4,6728.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.338191638692354,,,,,,,,,,,,,,,,,,,,74596957-bb2c-460b-8244-0fa4f8c0552f,"{'common': None, 'primary': 'Bandshell', 'rules': None}","[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w207394085@5', 'update_time': '2019-09-12T17:36:09.000Z'}]",,,,False,,,,entertainment,,,,,,,,,,False,1.0,30m+
b6c22a8e-39f2-48aa-9f55-661ea870ab80,POINT (477807.2112858852 4429420.3937706845),"{'alternate': array(['medical_center', 'public_health_clinic', 'womens_health_clinic',
       'health_and_medical'], dtype=object), 'primary': 'doctor'}",low,['https://www.plannedparenthood.org/health-center/colorado/boulder/80302/boulder-2488-90210?utm_campaign=boulder-health-center&utm_medium=organic&utm_source=bing-local-listing'],,,['3034471040'],,"[{'country': 'US', 'freeform': '2525 Arapahoe Avenue, 0', 'locality': 'Boulder', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': 'Planned Parenthood - Boulder Health Center', 'rules': None}","[{'between': None, 'confidence': 0.77, 'dataset': 'Microsoft', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '1407374885101369', 'update_time': '2017-09-05T14:02:56.257Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,outpatient_care_facility,"{'alternates': None, 'hierarchy': array(['health_care', 'doctor'], dtype=object), 'primary': 'heatlh_care'}",6,6986.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.3984915623158,,,,,,,,,,,,,,,,,,,,348740c2-d4cd-4e8a-97bb-58990a0baae4,,"[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w93554542@3', 'update_time': '2020-11-11T02:21:46.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.569329738616943,,False,,,,,,,,,,,,,,False,2.0,30m+
06798867-315b-4c29-9ac4-d30969db5b58,POINT (477807.2112858852 4429420.3937706845),"{'alternate': array(['mailbox_center', 'shipping_center', 'post_office',
       'business_storage_and_transportation', 'business_to_business'],
      dtype=object), 'primary': 'freight_and_cargo_service'}",low,['https://www.pakmail.com/stores/pak-mail-of-boulder'],,,['3034440831'],,"[{'country': 'US', 'freeform': '2525 Arapahoe Ave Unit E4', 'locality': 'Boulder', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': 'Pak Mail', 'rules': None}","[{'between': None, 'confidence': 0.77, 'dataset': 'Microsoft', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '1688849863434017', 'update_time': '2019-02-19T16:49:46.640Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,b2b_transportation_and_storage_service,"{'alternates': None, 'hierarchy': array(['services_and_business', 'b2b_service',
       'b2b_transportation_and_storage_service',
       'freight_and_cargo_service'], dtype=object), 'primary': 'freight_and_cargo_service'}",6,6986.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.3984915623158,,,,,,,,,,,,,,,,,,,,348740c2-d4cd-4e8a-97bb-58990a0baae4,,"[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w93554542@3', 'update_time': '2020-11-11T02:21:46.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.569329738616943,,False,,,,,,,,,,,,,,False,2.0,30m+
6ae9ab8f-f6ab-4120-adc8-47f22cb2ccd9,POINT (477807.2112858852 4429420.3937706845),"{'alternate': None, 'primary': 'active_life'}",low,['https://coreprogression.com/boulder-co/'],,,['7205711935'],,"[{'country': 'US', 'freeform': '2525 Arapahoe Ave Unit H-7', 'locality': 'Boulder', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': 'Core Progression Elite Personal Training', 'rules': None}","[{'between': None, 'confidence': 0.77, 'dataset': 'Microsoft', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '1970324838968028', 'update_time': '2020-06-10T20:18:41.647Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,,"{'alternates': None, 'hierarchy': array(['sports_and_recreation'], dtype=object), 'primary': 'sports_and_recreation'}",6,6986.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.3984915623158,,,,,,,,,,,,,,,,,,,,348740c2-d4cd-4e8a-97bb-58990a0baae4,,"[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w93554542@3', 'update_time': '2020-11-11T02:21:46.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.569329738616943,,False,,,,,,,,,,,,,,False,2.0,30m+
5b5ebc16-1e27-4933-8962-52113ca8a97a,POINT (477807.2112858852 4429420.3937706845),"{'alternate': None, 'primary': 'shipping_center'}",low,['https://locations.ups.com/us/en/co/boulder/authorized-shipping-outlet-009972.html'],,,['3034410831'],,"[{'country': 'US', 'freeform': '2525 Arapahoe Ave Unit E4', 'locality': 'BOULDER', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': 'UPS Authorized Shipping Outlet', 'rules': None}","[{'between': None, 'confidence': 0.77, 'dataset': 'Microsoft', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '1125899913114501', 'update_time': '2025-08-29T19:04:59.323Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,shipping_or_delivery_service,"{'alternates': None, 'hierarchy': array(['services_and_business', 'shipping_or_delivery_service',
       'shipping_center'], dtype=object), 'primary': 'shipping_center'}",6,6986.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.3984915623158,,,,,,,,,,,,,,,,,,,,348740c2-d4cd-4e8a-97bb-58990a0baae4,,"[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w93554542@3', 'update_time': '2020-11-11T02:21:46.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.569329738616943,,False,,,,,,,,,,,,,,False,2.0,30m+
9cabdb6c-9edf-4dea-9b00-5652f044c695,POINT (477807.2112858852 4429420.3937706845),"{'alternate': array(['business_equipment_and_supply', 'business_to_business'],
      dtype=object), 'primary': 'beauty_product_supplier'}",low,['https://www.bing.com/maps?osid=560e47a4-4c42-4b82-9d73-da0f6d9d2669&cp=39.712049~-105.146414&lvl=16&imgid=02b570ea-0cd1-4370-9f3d-f39a423d41c6&v=2&sV=2&form=S00027'],,,['8559594321'],,"[{'country': 'US', 'freeform': '2525 Arapahoe Ave # E4-441', 'locality': 'Boulder', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': 'Cured Nutrition', 'rules': None}","[{'between': None, 'confidence': 0.77, 'dataset': 'Microsoft', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '844424932620959', 'update_time': '2020-07-21T10:32:06.617Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,supplier_or_distributor,"{'alternates': None, 'hierarchy': array(['services_and_business', 'b2b_service', 'supplier_or_distributor',
       'beauty_product_supplier'], dtype=object), 'primary': 'beauty_product_supplier'}",6,6986.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.3984915623158,,,,,,,,,,,,,,,,,,,,348740c2-d4cd-4e8a-97bb-58990a0baae4,,"[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w93554542@3', 'update_time': '2020-11-11T02:21:46.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.569329738616943,,False,,,,,,,,,,,,,,False,2.0,30m+
87df057a-0667-409e-a747-842e7ed8a81b,POINT (477807.2112858852 4429420.3937706845),,low,['https://bouldercolorado.com/'],,,['3032186926'],,"[{'country': 'US', 'freeform': '2525 Arapahoe Ave Ste 4-1197', 'locality': 'Boulder', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': 'Boulder Colorado', 'rules': None}","[{'between': None, 'confidence': 0.77, 'dataset': 'Microsoft', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '1125899913819340', 'update_time': '2025-08-13T01:44:30.003Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,,,1,6986.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.3984915623158,,,,,,,,,,,,,,,,,,,,348740c2-d4cd-4e8a-97bb-58990a0baae4,,"[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w93554542@3', 'update_time': '2020-11-11T02:21:46.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.569329738616943,,False,,,,,,,,,,,,,,False,2.0,30m+
1519ee10-fcc6-4ad9-88a4-6d945eca194f,POINT (477807.2112858852 4429420.3937706845),"{'alternate': array(['retail'], dtype=object), 'primary': 'toy_store'}",low,['https://www.grtoys.com/?y_source=1_MTAzNDg5Mzk4NS00ODMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D'],,,['3034430780'],,"[{'country': 'US', 'freeform': '2525 Arapahoe Ave', 'locality': 'Boulder', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': ""Grandrabbit's Toy Shoppe"", 'rules': None}","[{'between': None, 'confidence': 0.77, 'dataset': 'Microsoft', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '562949965727219', 'update_time': '2025-06-03T11:47:17.860Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,toys_and_games_store,"{'alternates': None, 'hierarchy': array(['shopping', 'specialty_store', 'toys_and_games_store', 'toy_store'],
      dtype=object), 'primary': 'toy_store'}",8,6986.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.3984915623158,,,,,,,,,,,,,,,,,,,,348740c2-d4cd-4e8a-97bb-58990a0baae4,,"[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w93554542@3', 'update_time': '2020-11-11T02:21:46.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.569329738616943,,False,,,,,,,,,,,,,,False,2.0,30m+
31472f2a-7a7e-4f44-9109-2fb1a521339b,POINT (477807.2112858852 4429420.3937706845),"{'alternate': array(['shipping_center', 'post_office'], dtype=object), 'primary': 'courier_and_delivery_services'}",low,['https://locations.ups.com/us/en/co/boulder/access-point-location-137700.html'],,,['3034431822'],,"[{'country': 'US', 'freeform': '2525 Arapahoe Ave', 'locality': 'Boulder', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': 'UPS Access Point location', 'rules': None}","[{'between': None, 'confidence': 0.77, 'dataset': 'Microsoft', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '1125899911175687', 'update_time': '2025-08-29T18:35:11.143Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,shipping_or_delivery_service,"{'alternates': None, 'hierarchy': array(['services_and_business', 'shipping_or_delivery_service',
       'courier_and_delivery_service'], dtype=object), 'primary': 'courier_and_delivery_service'}",6,6986.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.3984915623158,,,,,,,,,,,,,,,,,,,,348740c2-d4cd-4e8a-97bb-58990a0baae4,,"[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w93554542@3', 'update_time': '2020-11-11T02:21:46.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.569329738616943,,False,,,,,,,,,,,,,,False,2.0,30m+
f03b9f0b-d4ed-4145-b11f-6dbee39f45bd,POINT (477807.2112858852 4429420.3937706845),"{'alternate': array(['retail'], dtype=object), 'primary': 'outdoor_gear'}",low,[''],,,['3039388799'],,"[{'country': 'US', 'freeform': '2525 Arapahoe Ave Unit E10', 'locality': 'Boulder', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': 'Boulder Ski Deals', 'rules': None}","[{'between': None, 'confidence': 0.77, 'dataset': 'Microsoft', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '562949955070267', 'update_time': '2015-05-15T06:46:36.077Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,sporting_goods_store,"{'alternates': None, 'hierarchy': array(['shopping', 'specialty_store', 'sporting_goods_store',
       'outdoor_store'], dtype=object), 'primary': 'outdoor_store'}",5,6986.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.3984915623158,,,,,,,,,,,,,,,,,,,,348740c2-d4cd-4e8a-97bb-58990a0baae4,,"[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w93554542@3', 'update_time': '2020-11-11T02:21:46.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.569329738616943,,False,,,,,,,,,,,,,,False,2.0,30m+
6b2040aa-e168-4d42-b594-a73d649d1373,POINT (477807.2112858852 4429420.3937706845),"{'alternate': array(['gym', 'pilates_studio', 'active_life'], dtype=object), 'primary': 'barre_classes'}",low,['http://barre3.com/studio-locations/boulder'],,,['7206034959'],,"[{'country': 'US', 'freeform': '2525 Arapahoe Ave', 'locality': 'Boulder', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': 'barre3', 'rules': None}","[{'between': None, 'confidence': 0.77, 'dataset': 'Microsoft', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '1125899911518478', 'update_time': '2023-05-10T15:25:46.757Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,fitness_studio,"{'alternates': None, 'hierarchy': array(['sports_and_recreation', 'sport_or_fitness_facility',
       'fitness_studio', 'barre_class'], dtype=object), 'primary': 'barre_class'}",6,6986.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.3984915623158,,,,,,,,,,,,,,,,,,,,348740c2-d4cd-4e8a-97bb-58990a0baae4,,"[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w93554542@3', 'update_time': '2020-11-11T02:21:46.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.569329738616943,,False,,,,,,,,,,,,,,False,2.0,30m+
2415fe1c-3b65-4bc5-ba74-64d4fdbb3494,POINT (477807.2112858852 4429420.3937706845),,low,['https://www.rmtenniscenter.com/'],,,['3034495033'],,"[{'country': 'US', 'freeform': '2525 Arapahoe Avenue, e4 223', 'locality': 'Boulder', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': 'Rocky Mountain Tennis Center / Tennis Center of The Rockies', 'rules': None}","[{'between': None, 'confidence': 0.77, 'dataset': 'Microsoft', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '562949967820886', 'update_time': '2025-10-05T11:53:14.980Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,,,1,6986.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.3984915623158,,,,,,,,,,,,,,,,,,,,348740c2-d4cd-4e8a-97bb-58990a0baae4,,"[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w93554542@3', 'update_time': '2020-11-11T02:21:46.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.569329738616943,,False,,,,,,,,,,,,,,False,2.0,30m+
e7652d26-d153-4868-b967-757fc5969f82,POINT (477807.2112858852 4429420.3937706845),"{'alternate': array(['laundromat', 'laundry_services'], dtype=object), 'primary': 'dry_cleaning'}",low,['https://www.dcleaners.com/location/village-shopping-center/'],,,['3034430290'],,"[{'country': 'US', 'freeform': '2525 Arapahoe Ave Ste H5', 'locality': 'Boulder', 'postcode': '80302', 'region': 'CO'}]","{'common': None, 'primary': 'Dependable Cleaners', 'rules': None}","[{'between': None, 'confidence': 0.77, 'dataset': 'Microsoft', 'license': 'CDLA-Permissive-2.0', 'property': '', 'record_id': '562949961526534', 'update_time': '2025-08-18T06:38:16.460Z'}
 {'between': None, 'confidence': None, 'dataset': 'Overture', 'license': 'CDLA-Permissive-2.0', 'property': '/properties/confidence', 'record_id': None, 'update_time': '2026-04-07T10:00:15Z'}]",open,laundry_service,"{'alternates': None, 'hierarchy': array(['services_and_business', 'laundry_service', 'dry_cleaning'],
      dtype=object), 'primary': 'dry_cleaning'}",6,6986.0,,,,,,,,,,,,,,,,,,,,,,,nearest,30.3984915623158,,,,,,,,,,,,,,,,,,,,348740c2-d4cd-4e8a-97bb-58990a0baae4,,"[{'between': None, 'confidence': None, 'dataset': 'OpenStreetMap', 'license': 'ODbL-1.0', 'property': '', 'record_id': 'w93554542@3', 'update_time': '2020-11-11T02:21:46.000Z'}
 {'between': None, 'confidence': None, 'dataset': 'Microsoft ML Buildings', 'license': 'ODbL-1.0', 'property': '/properties/height', 'record_id': None, 'update_time': '2000-01-01T00:00:00.000Z'}]",,6.569329738616943,,False,,,,,,,,,,,,,,False,2.0,30m+
